"","sourcePath","transactionId","totalConversions"
"85","bestedu.pl","5312093372f7f654c87f18da6f35b0b6",1
"86","bestedu.pl","43d37427694ac7f71ff7fe0635e2dded",1
"87","bestedu.pl","d5472fcfed42a0d118faa85a7d9cfac5",1
"88","bestedu.pl","805e16865a462e5c0219eb11f3c1ab2b",1
"89","bestedu.pl","68b38f98353697be17756821489d4a15",1
"90","bestedu.pl","5403d486e618efe4b158dcba5e43dc94",1
"91","bestedu.pl","d004aedc0abb90bdf494fbd649f93951",1
"92","bestedu.pl","ff228dcd8ef12090d0525f34e0159845",1
"93","bestedu.pl","87f401e5a0a7ce78aafcf51e13bef19a",1
"94","bestedu.pl","73ec380bcf70bc361eeada41116da625",1
"95","bestedu.pl","11d700767e1e4459197c8ebe446972e6",1
"96","bestedu.pl","2fc0909cc45c7654989cc1425f5e9420",1
"97","bestedu.pl","529235f7a3948b37b87b8fc6e7c37c41",1
"98","bestedu.pl","e90cc64cd204e01b8ee8dba26dc19750",1
"99","bestedu.pl","590f1a043bfbe47b7158fdc282e9fab9",1
"100","bestedu.pl","77a190110b517ddac817e649ef5fb8cd",1
"101","bestedu.pl","fc98abd359077d8ad92082130f81a816",1
"102","bestedu.pl","e351478f0589c848b36e0fb69c0d9e2a",1
"103","bestedu.pl","5d77f1f998313bf9b8315a5645733ceb",1
"104","bestedu.pl","7c50a5e55a9920a27c97f96ce9aaf1ae",1
"105","bestedu.pl","79b57891dad9895144a69e23a16f52a8",1
"106","bestedu.pl","4a200d979f377c7ac89e414468aa5957",1
"107","bestedu.pl","5d51aa8778ee0edc8ea693fde22c4f90",1
"108","bestedu.pl","d77de39584869d6823784feeca82952b",1
"109","bestedu.pl","b38fb18c9789d8d5b604527e4298d1fe",1
"110","bestedu.pl","d2e98e2cf98bd653074103253d6055a9",1
"111","bestedu.pl","420cd9ad3959a95eba8680d5a718db32",1
"112","bestedu.pl","aee24eb4a7c896d669321de1cd377081",1
"113","bestedu.pl","d730f0f47a92b6f78f60bac5433741d7",1
"114","bestedu.pl","1b88d2080a3875943518ddc8a25d9508",1
"115","bestedu.pl","09d9e7c9651ae68414a89f405cd5543a",1
"116","bestedu.pl","2bdeaa467bcbac5aa8447126be231e29",1
"117","bestedu.pl","1a4ac39713a002eb16c051b3a1865d6d",1
"118","bestedu.pl","6ed9ea083271443e4cbd63520758f389",1
"119","bestedu.pl","b3b745209309ee090cd7d639aed20bd2",1
"120","bestedu.pl","6070a69a0a6ecdfa0f71a3ed3ccbdc99",1
"121","bestedu.pl","92101088ce286a61f662531e7854ac2a",1
"122","bestedu.pl","d0116a7417a785d93091376eba51ae71",1
"123","bestedu.pl","1ae5ee6bd3b5391d470dd646fa1789aa",1
"124","bestedu.pl","f5341fb6f44a9edbb405e6e8e28e0e73",1
"125","bestedu.pl","0c6f5796fed098a115b48c9a5bbbd6e3",1
"126","bestedu.pl","df80bb8e34e7683d07d653909085e9c5",1
"127","bestedu.pl","f67bd4d57725288c6ccda030462e622c",1
"128","bestedu.pl","ed7cd0a56e96139a74b6846d11f723cc",1
"129","bestedu.pl","686dd021f350d977b5cfd9ca3b1dc452",1
"130","bestedu.pl","eddc2004c9307a9b2b1d350d41f93d84",1
"131","bestedu.pl","cb26759444ef14ac37a83a178a0f7109",1
"132","bestedu.pl","45406b9cc346854f1b44584361014d23",1
"133","bestedu.pl","a188f9ab7c181d82fc54e221966cde6a",1
"134","bestedu.pl","3a5caf4f8002886c0b3731957b7c1ffa",1
"135","bestedu.pl","40284d6bc173e6f188b49c1af8259dbe",1
"136","bestedu.pl","478234029c1eacfb75018e20a2079f27",1
"137","bestedu.pl","5479f0fde7ad904718a13383decd2334",1
"138","bestedu.pl","c2eddf56b2d57410dd38f833db678d1b",1
"139","bestedu.pl","855e5ffbd827d46e3d7562ac6444bac8",1
"140","bestedu.pl","e12ce5c76562db092054dfb1535a3b98",1
"141","bestedu.pl","1a9b81cfa068354af898e6e5b1ff6619",1
"142","bestedu.pl","2bedcf36126d914391e28333169b1600",1
"143","bestedu.pl > fb > google","3b79845fd5657ada3f43944fe88bd040",1
"144","bestedu.pl > fb > (direct) > bestedu.pl > bestedu.pl > bestedu.pl > (direct) > (direct) > (direct) > (direct) > bestedu.pl > (direct) > (direct) > (direct) > (direct) > google> bestedu.pl > (direct) > (direct) > facebook> bestedu.pl > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"145","bestedu.pl > onet.pl","1ea9d41ab900f5f33f0609ca4696e975",1
"146","bestedu.pl > onet.pl","84f20a1d654e81cd55e03c86ffb699c3",1
"147","bestedu.pl > onet.pl","a5ef0a166e72291ca91961fb3c2aa608",1
"148","bestedu.pl > onet.pl","dab86fbca69a3f6e6b3e31725289e1d3",1
"149","bestedu.pl > onet.pl","f2dbee1009e26afcada02d56ea5ed7a7",1
"150","bestedu.pl > onet.pl","34bbc3aad6b3958a7d433a9c7adb3be0",1
"151","bestedu.pl > onet.pl","840e265ca09a21973143005cf1e4f51e",1
"152","bestedu.pl > onet.pl > bing","3b79845fd5657ada3f43944fe88bd040",1
"153","bestedu.pl > onet.pl > google","88ac9cfe77fe4c8d2c6d72bd5b4c9436",1
"154","bestedu.pl > onet.pl > google > onet.pl","3b79845fd5657ada3f43944fe88bd040",1
"155","bestedu.pl > onet.pl > google > google > bestedu.pl > onet.pl","3b79845fd5657ada3f43944fe88bd040",1
"156","bestedu.pl > onet.pl > google > google > bestedu.pl > onet.pl > google","745ecd3e8f9c67f0ed4cf5f8eb9a1801",1
"157","bestedu.pl > onet.pl > google > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"158","bestedu.pl > onet.pl > google > (direct) > instagram > onet.pl","3b79845fd5657ada3f43944fe88bd040",1
"159","bestedu.pl > onet.pl > google > (direct) > instagram > onet.pl > google","3b79845fd5657ada3f43944fe88bd040",1
"160","bestedu.pl > onet.pl > google > (direct) > instagram > onet.pl > google > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"161","bestedu.pl > onet.pl > google > (direct) > instagram > onet.pl > google > (direct) > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"162","bestedu.pl > onet.pl > google > (direct) > instagram > onet.pl > google > (direct) > (direct) > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"163","bestedu.pl > onet.pl > google > (direct) > instagram > onet.pl > google > (direct) > (direct) > (direct) > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"164","bestedu.pl > onet.pl > google > (direct) > instagram > onet.pl > google > (direct) > (direct) > (direct) > (direct) > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"165","bestedu.pl > onet.pl > google > (direct) > instagram > onet.pl > google > (direct) > (direct) > (direct) > (direct) > (direct) > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"166","bestedu.pl > onet.pl > google > (direct) > instagram > onet.pl > google > (direct) > (direct) > (direct) > (direct) > (direct) > (direct) > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"167","bestedu.pl > onet.pl > google > (direct) > instagram > onet.pl > google > (direct) > (direct) > (direct) > (direct) > (direct) > (direct) > (direct) > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"168","bestedu.pl > onet.pl > google > bestedu.pl > google > l.facebook.com > (direct) > (direct) > (direct) > (direct) > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"169","bestedu.pl > onet.pl > google > instagram > google","f147cfce1f0c0762cd310dbcd8034b31",1
